Date,spy,baseline,optimized,spy_vami,baseline_vami,optimized_vami
5/14/19,0.009043652,0.022045968,0.005359014,1046.907835,1076.467435,1325.457036
5/15/19,0.005857445,0.015399402,-0.02106471,1053.04004,1093.04439,1297.536668
5/16/19,0.009261208,0.020364013,0.005042363,1062.792463,1115.303159,1304.079318
5/17/19,-0.006465068,-0.016430126,0.014239559,1055.921438,1096.978588,1322.648832
5/20/19,-0.006612091,-0.013539237,0.005789394,1048.93959,1082.126336,1330.306167
5/21/19,0.009015672,0.014424148,-0.003000443,1058.396485,1097.735086,1326.314659
5/22/19,-0.003071446,-0.003355805,0.001981892,1055.145677,1094.051301,1328.943272
5/23/19,-0.012218604,-0.009539738,-0.010905856,1042.253269,1083.614338,1314.450008
5/24/19,0.002268377,0.000557815,0.003296436,1044.617493,1084.218795,1318.783009
5/27/19,0,-6.4297E-07,-0.000431501,1044.617493,1084.218098,1318.213953
5/28/19,-0.009300516,-0.004005982,0.001730307,1034.902011,1079.87474,1320.494868
5/29/19,-0.006710691,-0.012101193,-0.000136532,1027.957104,1066.806967,1320.314579
5/30/19,0.00273116,0.011388733,0.003460122,1030.76462,1078.956546,1324.883029
5/31/19,-0.013475254,-0.007641628,0.001922116,1016.874805,1070.711561,1327.429608
6/3/19,-0.002542958,-0.024465238,-0.005998169,1014.288935,1044.516348,1319.467461
6/4/19,0.021706669,0.017733932,0.008236019,1036.305769,1063.03973,1330.33462
6/5/19,0.008662175,0.036065593,-0.002802669,1045.282431,1101.378888,1326.606132
6/6/19,0.006502686,0.007376654,-0.001318289,1052.079574,1109.503379,1324.857281
6/7/19,0.010007022,0.036757225,-0.002320846,1062.607758,1150.285644,1321.782492
6/10/19,0.00458891,0.01267463,0.001222761,1067.48397,1164.865089,1323.398716
6/11/19,-0.00024224,0.002189007,0.001222761,1067.225383,1167.414987,1325.016916
6/12/19,-0.001765317,-0.001292514,-0.002205329,1065.341392,1165.906086,1322.094818
6/13/19,0.004126357,-0.004510506,-0.014115594,1069.737371,1160.64726,1303.432664
6/14/19,-0.001105049,0.000968089,-0.002201105,1068.555259,1161.77087,1300.563673
6/17/19,0.000380281,-0.002967015,0.007409064,1068.96161,1158.323878,1310.199632
6/18/19,0.010471023,-0.002996354,0.006951922,1080.154732,1154.85313,1319.308038
